type,ident,lat,long,y_proj,x_proj,new_seg,display,color,altitude,depth,temp,time,model,filename,ltime
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.42857801156304,-71.49193838643757,8182019.35859446,233888.378240492,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.42862512096944,-71.49217796079473,8182013.82815166,233862.84488218,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.42887685809488,-71.49245211343562,8181985.59837977,233833.895876781,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.42925650346577,-71.49279423893488,8181943.1187342,233797.858696278,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.42944276897872,-71.49311795482313,8181922.07183253,233763.524998922,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.42952527145431,-71.49349076093114,8181912.44761418,233723.804806083,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.42941815739883,-71.49414636375644,8181923.44306677,233653.610444441,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.42932286347739,-71.49450254501996,8181933.52394049,233615.424024984,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.42938454838772,-71.49547892711414,8181925.40927038,233511.185900776,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.42962187609977,-71.49634081920557,8181897.99991416,233419.420328814,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.42985814162207,-71.49656096406704,8181871.55343245,233396.221359578,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.43031140871372,-71.49692843195696,8181820.8890094,233357.577965464,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.43046212374084,-71.49742693588274,8181803.54664666,233304.520967813,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.43044532907656,-71.49792102146291,8181804.75460573,233251.707285795,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.43051882476975,-71.49851496221554,8181795.83490251,233188.34788372,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.43053733225017,-71.49899371797844,8181793.15456863,233137.22033665,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.43057404839541,-71.49945317412191,8181788.48372855,233088.179749006,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.43067135339491,-71.49987440496726,8181777.15554048,233043.306197358,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.43068988388911,-71.50034747854167,8181774.47980609,232992.785806718,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.43062298486653,-71.5006979878581,8181781.42346385,232955.244004765,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.43039870888215,-71.5011844109373,8181805.61054195,232902.965122469,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.43013371912834,-71.50170445239824,8181834.26046588,232847.03842511,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.42989360823837,-71.50213025663349,8181860.2804242,232801.214474018,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.42962116367179,-71.50254790228307,8181889.89067902,232756.217866185,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.42956797825188,-71.50283339347146,8181895.40164334,232725.641439687,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.42928103562844,-71.5031887221713,8181926.69914828,232687.283132333,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.42847552910953,-71.50345132437232,8182015.52841012,232658.122322,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.42774743955239,-71.50396264186436,8182095.45832479,232602.492768758,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.42753056504275,-71.50455588405092,8182118.68412332,232538.809451071,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.42735428425799,-71.50532993410104,8182137.17665046,232455.862697165,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.42786022553441,-71.50588441195625,8182080.43153953,232397.311320577,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.42805366541509,-71.50603564177217,8182058.81611888,232381.417892091,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.42841105900671,-71.50677015469296,8182018.27806166,232303.427095601,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.42872684858191,-71.50739615864752,8181982.48919267,232236.973366509,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.42906714698768,-71.50799751768997,8181944.01937086,232173.186679358,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.42926411958263,-71.50833240641073,8181921.76950997,232137.67506583,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.42931520465553,-71.50859656215303,8181915.76423569,232109.520967067,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.42935790745555,-71.50881058989089,8181910.75328732,232086.711390531,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.42965620813092,-71.50967948787026,8181876.5781082,231994.281875811,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.43003324040382,-71.51114802982818,8181832.89155359,231837.890848085,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.43057582003848,-71.5122141290352,8181771.40988443,231724.727288863,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.4307705031462,-71.51240604250808,8181749.60224918,231704.489548592,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.43138220887758,-71.51284449911289,8181681.29947546,231658.482798129,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.4323277198118,-71.51382237236328,8181575.32562108,231555.301027961,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.43339835264042,-71.51516189029861,8181455.01885175,231413.652494813,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.4340903681369,-71.51614418561327,8181377.10188395,231309.651629655,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.43465165707217,-71.51732694985412,8181313.39053633,231184.052499045,False, , ,0, , , , , , 
